,unique_add,Lon,Lat
0,225 ANG MO KIO AVE 1,103.834439535286,1.29644995684098
1,310C ANG MO KIO AVE 1,103.829388161578,1.30393331930705
2,475 ANG MO KIO AVE 10,103.849087514554,1.30606411508932
3,577 ANG MO KIO AVE 10,103.847197777949,1.31181999992702
4,121 ANG MO KIO AVE 3,103.830277614211,1.43769199919618
5,586 ANG MO KIO AVE 3,103.847197777949,1.31181999992702
6,301 ANG MO KIO AVE 3,103.829388161578,1.30393331930705
7,329 ANG MO KIO AVE 3,103.829388161578,1.30393331930705
8,424 ANG MO KIO AVE 3,103.849087514554,1.30606411508932
9,128 ANG MO KIO AVE 3,103.830277614211,1.43769199919618
10,604 ANG MO KIO AVE 5,103.845880417376,1.31568172551155
12,602 ANG MO KIO AVE 5,103.845880417376,1.31568172551155
13,646 ANG MO KIO AVE 6,103.845880417376,1.31568172551155
15,415 ANG MO KIO AVE 10,103.849087514554,1.30606411508932
16,214 ANG MO KIO AVE 3,103.834439535286,1.29644995684098
17,608 ANG MO KIO AVE 5,103.845880417376,1.31568172551155
18,455A ANG MO KIO ST 44,103.849087514554,1.30606411508932
19,455C ANG MO KIO ST 44,103.849087514554,1.30606411508932
20,305 ANG MO KIO AVE 1,103.829388161578,1.30393331930705
21,545 ANG MO KIO AVE 10,103.847197777949,1.31181999992702
22,437 ANG MO KIO AVE 10,103.849087514554,1.30606411508932
23,430 ANG MO KIO AVE 3,103.849087514554,1.30606411508932
24,648 ANG MO KIO AVE 5,103.845880417376,1.31568172551155
25,455B ANG MO KIO ST 44,103.849087514554,1.30606411508932
26,588D ANG MO KIO ST 52,103.847197777949,1.31181999992702
27,588C ANG MO KIO ST 52,103.847197777949,1.31181999992702
28,519 BEDOK NTH AVE 1,103.847197777949,1.31181999992702
29,401 BEDOK NTH AVE 3,103.849087514554,1.30606411508932
30,204 BEDOK NTH ST 1,103.834439535286,1.29644995684098
31,542 BEDOK NTH ST 3,103.847197777949,1.31181999992702
32,503 BEDOK NTH ST 3,103.847197777949,1.31181999992702
33,527 BEDOK NTH ST 3,103.847197777949,1.31181999992702
35,121 BEDOK RESERVOIR RD,103.830277614211,1.43769199919618
36,702 BEDOK RESERVOIR RD,103.79109781142,1.44726810120856
37,50 CHAI CHEE ST,103.847197777949,1.31181999992702
38,95 BEDOK NTH AVE 4,103.826048654888,1.38403246026104
39,185 BEDOK NTH RD,103.830277614211,1.43769199919618
40,421 BEDOK NTH RD,103.849087514554,1.30606411508932
41,124 BEDOK RESERVOIR RD,103.830277614211,1.43769199919618
42,142 BEDOK RESERVOIR RD,103.830277614211,1.43769199919618
43,610 BEDOK RESERVOIR RD,103.845880417376,1.31568172551155
44,113 BEDOK RESERVOIR RD,103.830277614211,1.43769199919618
45,627 BEDOK RESERVOIR RD,103.845880417376,1.31568172551155
46,772 BEDOK RESERVOIR VIEW,103.79109781142,1.44726810120856
47,774 BEDOK RESERVOIR VIEW,103.79109781142,1.44726810120856
48,5 BEDOK STH AVE 2,103.847197777949,1.31181999992702
49,166 BEDOK STH AVE 3,103.830277614211,1.43769199919618
50,70 BEDOK STH RD,103.79109781142,1.44726810120856
51,807C CHAI CHEE RD,103.845956557221,1.30096483460999
52,11 CHAI CHEE RD,103.830277614211,1.43769199919618
54,414 BEDOK NTH AVE 2,103.849087514554,1.30606411508932
55,505 BEDOK NTH AVE 3,103.847197777949,1.31181999992702
56,99 BEDOK NTH AVE 4,103.826048654888,1.38403246026104
57,181 BEDOK NTH RD,103.830277614211,1.43769199919618
58,91 BEDOK NTH ST 4,103.826048654888,1.38403246026104
59,20 BEDOK STH RD,103.834439535286,1.29644995684098
60,659 JLN TENAGA,103.845880417376,1.31568172551155
61,645 JLN TENAGA,103.845880417376,1.31568172551155
62,114 BEDOK RESERVOIR RD,103.830277614211,1.43769199919618
63,637 BEDOK RESERVOIR RD,103.845880417376,1.31568172551155
64,145 BEDOK RESERVOIR RD,103.830277614211,1.43769199919618
65,403 SIN MING AVE,103.849087514554,1.30606411508932
66,24 SIN MING RD,103.834439535286,1.29644995684098
67,109 BISHAN ST 12,103.830277614211,1.43769199919618
68,177 BISHAN ST 13,103.830277614211,1.43769199919618
69,166 BISHAN ST 13,103.830277614211,1.43769199919618
70,248 BISHAN ST 22,103.834439535286,1.29644995684098
72,214 BISHAN ST 23,103.834439535286,1.29644995684098
73,217 BISHAN ST 23,103.834439535286,1.29644995684098
74,286 BISHAN ST 24,103.834439535286,1.29644995684098
75,135 BISHAN ST 12,103.830277614211,1.43769199919618
76,183 BISHAN ST 13,103.830277614211,1.43769199919618
77,170 BISHAN ST 13,103.830277614211,1.43769199919618
78,405 SIN MING AVE,103.849087514554,1.30606411508932
79,453 SIN MING AVE,103.849087514554,1.30606411508932
80,274 BT BATOK EAST AVE 4,103.834439535286,1.29644995684098
81,239 BT BATOK EAST AVE 5,103.834439535286,1.29644995684098
82,343 BT BATOK ST 34,103.829388161578,1.30393331930705
83,536 BT BATOK ST 52,103.847197777949,1.31181999992702
84,506 BT BATOK ST 52,103.847197777949,1.31181999992702
85,194B BT BATOK WEST AVE 6,103.830277614211,1.43769199919618
86,130 BT BATOK WEST AVE 6,103.830277614211,1.43769199919618
87,139 BT BATOK WEST AVE 6,103.830277614211,1.43769199919618
88,164 BT BATOK ST 11,103.830277614211,1.43769199919618
89,212 BT BATOK ST 21,103.834439535286,1.29644995684098
90,296C BT BATOK ST 22,103.834439535286,1.29644995684098
91,363 BT BATOK ST 31,103.829388161578,1.30393331930705
